כנסת,שם,קוד שחקן,קוד משתמש,מגדר,קוד תפקיד,תפקיד,התחלה,סיום,סיבת סיום כהונה,סיבת חזרה לכהונה,החליף את
25,דבי ביטון,30837,34366,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,דוד אמסלם,23564,23564,זכר,43,חבר הכנסת,15/11/2022,31/03/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,דוד ביטן,23558,23558,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,דן אילוז,30839,34520,זכר,43,חבר הכנסת,06/01/2023,NULL,NULL,NULL,זוהר מכלוף מיקי
25,דני דנון,12944,12944,זכר,43,חבר הכנסת,15/11/2022,30/06/2024,"מינוי למשרה (ס' 7 לח""י: הכנסת)",NULL,NULL
25,ואליד אלהואשלה,30840,34367,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ווליד טאהא,30752,32221,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ולדימיר בליאק,30776,32643,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,זאב אלקין,4397,4397,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,חוה אתי עטייה,30702,32032,נקבה,61,חברת הכנסת,07/01/2023,NULL,NULL,NULL,סילמן עידית
25,חיים ביטון,30804,32688,זכר,43,חבר הכנסת,15/11/2022,02/02/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,חיים ביטון,30804,32688,זכר,43,חבר הכנסת,20/07/2025,NULL,NULL,NULL,מלול ארז
25,חיים כץ,556,556,זכר,43,חבר הכנסת,15/11/2022,06/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,חילי טרופר,30683,32015,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,חמד עמאר,12938,12938,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,חנוך דב מלביצקי,30842,34368,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,טטיאנה מזרסקי,30782,33824,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,טלי גוטליב,30860,34379,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יאיר לפיד,23594,23594,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יאסר חוג'יראת,30843,34369,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יבגני סובה,30722,32028,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יואב בן צור,28513,28513,זכר,43,חבר הכנסת,15/11/2022,03/01/2023,"התפטרות חה""כ מהכנסת",NULL,NULL
25,יואב בן צור,28513,28513,זכר,43,חבר הכנסת,20/07/2025,NULL,NULL,"כהונת חה""כ התחדשה",מלול ארז
25,יואב גלנט,30077,30077,זכר,43,חבר הכנסת,15/11/2022,05/01/2025,"התפטרות חה""כ מהכנסת",NULL,NULL
25,יואב סגלוביץ',30695,32027,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יואב קיש,30057,30057,זכר,43,חבר הכנסת,15/11/2022,26/03/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,יואל רזבוזוב,23601,23601,זכר,43,חבר הכנסת,15/11/2022,01/02/2023,"התפטרות חה""כ מהכנסת",NULL,NULL
25,יולי יואל אדלשטיין,532,532,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יוליה מלינובסקי,23560,23560,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יונתן מישרקי,30868,34513,זכר,43,חבר הכנסת,03/01/2023,NULL,NULL,NULL,בן צור יואב
25,יוסף טייב,30770,32465,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יוסף עטאונה,30558,31747,זכר,43,חבר הכנסת,15/11/2022,20/06/2025,"התפטרות חה""כ מהכנסת",NULL,NULL
25,יוראי להב הרצנו,30720,32023,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ינון אזולאי,30601,31851,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יסמין פרידמן,30783,33827,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יעל רון בן משה,30775,32635,נקבה,61,חברת הכנסת,08/07/2025,NULL,NULL,NULL,כהנא מתן
25,יעקב אשר,23641,23641,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,יעקב טסלר,30671,32014,זכר,43,חבר הכנסת,15/11/2022,02/07/2025,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,יעקב טסלר,30671,32014,זכר,43,חבר הכנסת,17/07/2025,NULL,NULL,"כהונת חה""כ התחדשה",פינדרוס יצחק
25,יעקב מרגי,1056,1056,זכר,43,חבר הכנסת,15/11/2022,02/02/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,יעקב מרגי,1056,1056,זכר,43,חבר הכנסת,20/07/2025,NULL,NULL,NULL,מושיאשוילי סימון
25,יפעת שאשא ביטון,30082,30082,נקבה,61,חברת הכנסת,15/11/2022,05/07/2024,"התפטרות חה""כ מהכנסת",NULL,NULL
25,יצחק גולדקנופ,30846,34370,זכר,43,חבר הכנסת,15/11/2022,06/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,יצחק גולדקנופ,30846,34370,זכר,43,חבר הכנסת,15/06/2025,NULL,NULL,NULL,ברוכי אליהו
25,יצחק פינדרוס,30672,32033,זכר,43,חבר הכנסת,06/01/2023,17/07/2025,"כהונת חה""כ פסקה בשל התחדשות חברות ח""כ אחר",NULL,גולדקנופ יצחק
25,יצחק קרויזר,30867,34499,זכר,43,חבר הכנסת,01/01/2023,NULL,NULL,NULL,אליהו עמיחי
25,יצחק שמעון וסרלאוף,30847,34371,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ירון לוי,30881,34814,זכר,43,חבר הכנסת,01/08/2023,NULL,NULL,NULL,ברביבאי אורנה
25,יריב לוין,12951,12951,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ישראל אייכלר,1057,1057,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ישראל כץ,468,468,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,לימור סון הר מלך,30849,34372,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מאי גולן,30708,32005,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מאיר כהן,23597,23597,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מאיר פרוש,563,563,זכר,43,חבר הכנסת,15/11/2022,25/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,מאיר פרוש,563,563,זכר,43,חבר הכנסת,17/07/2025,NULL,NULL,"כהונת חה""כ התחדשה",רוט משה
25,מטי צרפתי הרכבי,30851,34373,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מיכאל מלכיאלי,30470,30573,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מיכאל מרדכי ביטון,30682,32000,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מיכל מרים וולדיגר,30810,32693,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מיכל שיר סגמן,30705,32045,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מיקי לוי,23632,23632,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מירב בן ארי,30102,30102,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מירב כהן,30686,32020,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מירי מרים רגב,12959,12959,נקבה,61,חברת הכנסת,15/11/2022,15/02/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,מישל בוסקילה,30799,34328,זכר,43,חבר הכנסת,05/07/2024,NULL,NULL,NULL,שאשא ביטון יפעת
25,מכלוף מיקי זוהר,30058,30058,זכר,43,חבר הכנסת,15/11/2022,06/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,מנסור עבאס,30713,32031,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,מרב מיכאלי,23565,23565,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה אבוטבול,30749,32220,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה ארבל,30660,31998,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה גפני,526,526,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה טור פז,30777,32642,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה סולומון,30852,34374,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה סעדה,30853,34375,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,משה פסל,30877,34687,זכר,43,חבר הכנסת,12/03/2023,NULL,NULL,NULL,דיסטל אטבריאן גלית
25,משה רוט,30870,34586,זכר,43,חבר הכנסת,25/01/2023,17/07/2025,"כהונת חה""כ פסקה בשל התחדשות חברות ח""כ אחר",NULL,פרוש מאיר
25,מתן כהנא,30662,32208,זכר,43,חבר הכנסת,15/11/2022,08/07/2025,"התפטרות חה""כ מהכנסת",NULL,NULL
25,נאור שירי,30854,34376,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ניסים ואטורי,30772,32623,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ניר ברקת,30700,32004,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,נעמה לזימי,30106,33856,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,סימון דוידסון,30820,33930,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,סימון מושיאשוילי,30872,34608,זכר,43,חבר הכנסת,02/02/2023,20/07/2025,"כהונת חה""כ פסקה בשל התחדשות חברות ח""כ אחר",NULL,ביטון חיים
25,סמיר בן סעיד,30894,35385,זכר,43,חבר הכנסת,20/06/2025,NULL,NULL,NULL,עטאונה יוסף
25,עאידה תומא סלימאן,30067,30067,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
